symbol,date,vol7,fwd3,fwd7,fascia_tf,quart,semestre
ONDO/USDT,2025-09-10 00:00:00+00:00,26586706.70752857,0.06593084586833364,0.04160968939245935,B ($20-100M),Q4 alto,giu-nov 2025
ONDO/USDT,2026-05-04 00:00:00+00:00,8321657.921592857,0.1222151495862509,0.3647358370464673,C (<$20M),Q3,dic 2025-giu 2026
OP/USDT,2026-05-08 00:00:00+00:00,9135103.914184714,-0.08614668218859145,-0.2043073341094297,C (<$20M),Q3,dic 2025-giu 2026
OPEN/USDT,2026-03-28 00:00:00+00:00,2689323.0852142856,-0.0318318318318318,-0.007207207207207245,C (<$20M),Q1 basso,dic 2025-giu 2026
OPEN/USDT,2026-04-04 00:00:00+00:00,681570.8328585714,0.06473079249848745,0.14095583787053845,C (<$20M),Q1 basso,dic 2025-giu 2026
ORCA/USDT,2025-08-08 00:00:00+00:00,5283031.570504286,-0.12413073713490952,-0.17002781641168285,C (<$20M),Q2,giu-nov 2025
ORCA/USDT,2026-04-25 00:00:00+00:00,3133306.39863,0.4676258992805753,0.8776978417266186,C (<$20M),Q2,dic 2025-giu 2026
ORDI/USDT,2025-09-12 00:00:00+00:00,8942073.159872858,-0.08204829793424495,-0.04577635534865676,C (<$20M),Q3,giu-nov 2025
ORDI/USDT,2026-01-13 00:00:00+00:00,3800123.1813728577,-0.06074936340487458,-0.2515460167333575,C (<$20M),Q2,dic 2025-giu 2026
ORDI/USDT,2026-04-16 00:00:00+00:00,34050705.685344286,-0.5063395163183846,-0.46266729279173524,B ($20-100M),Q4 alto,dic 2025-giu 2026
PARTI/USDT,2025-12-02 00:00:00+00:00,10919482.940705715,-0.1266375545851528,-0.19359534206695783,C (<$20M),Q3,dic 2025-giu 2026
PARTI/USDT,2026-02-14 00:00:00+00:00,1839795.207957143,-0.022893772893772923,-0.05769230769230771,C (<$20M),Q1 basso,dic 2025-giu 2026
PAXG/USDT,2025-08-04 00:00:00+00:00,10769862.190119144,0.0046956418758883345,-0.009441615348176224,C (<$20M),Q3,giu-nov 2025
PAXG/USDT,2025-08-27 00:00:00+00:00,5899644.671394571,0.022108612618143786,0.05524791753989278,C (<$20M),Q2,giu-nov 2025
PENDLE/USDT,2026-04-26 00:00:00+00:00,3191355.3593571424,-0.01421091997008217,0.18773373223635015,C (<$20M),Q2,dic 2025-giu 2026
PENGU/USDT,2026-04-22 00:00:00+00:00,17522586.346700285,0.04815760671287861,0.17973975434756184,C (<$20M),Q3,dic 2025-giu 2026
PEPE/USDT,2025-08-10 00:00:00+00:00,128076469.05895779,0.014913007456503813,-0.07870753935376962,A (>$100M),Q4 alto,giu-nov 2025
PEPE/USDT,2025-08-12 00:00:00+00:00,154379147.52262306,-0.10955518945634268,-0.15897858319604619,A (>$100M),Q4 alto,giu-nov 2025
PEPE/USDT,2026-01-05 00:00:00+00:00,123514143.41963914,-0.13142857142857134,-0.17999999999999994,A (>$100M),Q4 alto,dic 2025-giu 2026
PEPE/USDT,2026-04-23 00:00:00+00:00,43959555.13378961,0.020942408376963373,0.015706806282722585,B ($20-100M),Q4 alto,dic 2025-giu 2026
PLUME/USDT,2026-04-22 00:00:00+00:00,5971015.728765713,0.06926751592356672,-0.06130573248407645,C (<$20M),Q2,dic 2025-giu 2026
PNUT/USDT,2025-09-17 00:00:00+00:00,21832968.9673,-0.07964601769911517,-0.17776067718353217,B ($20-100M),Q3,giu-nov 2025
PNUT/USDT,2026-04-17 00:00:00+00:00,10868872.720391428,-0.11764705882352944,-0.1811145510835913,C (<$20M),Q3,dic 2025-giu 2026
POL/USDT,2026-01-12 00:00:00+00:00,30844461.487944283,-0.011258278145695466,-0.09735099337748343,B ($20-100M),Q4 alto,dic 2025-giu 2026
POL/USDT,2026-05-07 00:00:00+00:00,3211860.094884286,0.058763931104356626,-0.041540020263424404,C (<$20M),Q2,dic 2025-giu 2026
PSG/USDT,2025-08-07 00:00:00+00:00,1839415.6657542854,0.1594703511801956,0.061600460564191106,C (<$20M),Q1 basso,giu-nov 2025
PSG/USDT,2026-03-20 00:00:00+00:00,1502978.1956299997,0.0,-0.025445292620865145,C (<$20M),Q1 basso,dic 2025-giu 2026
PSG/USDT,2026-05-06 00:00:00+00:00,1614181.336255714,0.03253796095444672,0.04121475054229928,C (<$20M),Q1 basso,dic 2025-giu 2026
PUMP/USDT,2026-01-28 00:00:00+00:00,34061331.115370855,-0.1217362924281985,-0.2597911227154046,B ($20-100M),Q4 alto,dic 2025-giu 2026
PUMP/USDT,2026-05-08 00:00:00+00:00,7201609.0150935715,-0.027790643816581584,-0.16813339509031955,C (<$20M),Q2,dic 2025-giu 2026
QI/USDT,2025-08-23 00:00:00+00:00,702667.7257557142,-0.06200527704485492,-0.05672823218997358,C (<$20M),Q1 basso,giu-nov 2025
QI/USDT,2025-08-28 00:00:00+00:00,692176.5415,-0.06896551724137923,-0.0557029177718833,C (<$20M),Q1 basso,giu-nov 2025
QI/USDT,2025-09-03 00:00:00+00:00,571757.2115928571,-0.013513513513513598,0.006756756756756799,C (<$20M),Q1 basso,giu-nov 2025
QI/USDT,2025-09-05 00:00:00+00:00,519880.97765142855,-0.020408163265306145,0.029931972789115635,C (<$20M),Q1 basso,giu-nov 2025
QI/USDT,2026-05-07 00:00:00+00:00,1185082.273767143,0.06557377049180313,-0.005464480874316946,C (<$20M),Q1 basso,dic 2025-giu 2026
RAY/USDT,2026-04-24 00:00:00+00:00,1013209.8425285721,0.1285500747384154,0.2451420029895366,C (<$20M),Q1 basso,dic 2025-giu 2026
RED/USDT,2026-05-10 00:00:00+00:00,1548767.9795542862,-0.10952689565780949,-0.18600129617628003,C (<$20M),Q1 basso,dic 2025-giu 2026
REZ/USDT,2025-10-06 00:00:00+00:00,5162690.259055287,0.1253521126760564,-0.09647887323943671,C (<$20M),Q2,giu-nov 2025
REZ/USDT,2026-04-10 00:00:00+00:00,2599530.161207857,-0.02393617021276595,0.09042553191489366,C (<$20M),Q1 basso,dic 2025-giu 2026
SAHARA/USDT,2025-09-03 00:00:00+00:00,4345377.42464,0.0008623477417268877,0.0011857281448743873,C (<$20M),Q2,giu-nov 2025
SAHARA/USDT,2025-11-27 00:00:00+00:00,2214099.33436,-0.4878283923837069,-0.5118100747167993,C (<$20M),Q1 basso,giu-nov 2025
SAHARA/USDT,2026-03-11 00:00:00+00:00,3768421.3844128572,0.06462442299622317,0.03105329416701652,C (<$20M),Q2,dic 2025-giu 2026
SAHARA/USDT,2026-05-04 00:00:00+00:00,1730366.2703442858,0.06394389438943882,0.5020627062706269,C (<$20M),Q1 basso,dic 2025-giu 2026
SAND/USDT,2025-09-10 00:00:00+00:00,4123289.559814286,0.09400000000000008,0.03433333333333355,C (<$20M),Q2,giu-nov 2025
SAPIEN/USDT,2026-04-22 00:00:00+00:00,4175108.297332857,0.06060606060606055,0.0,C (<$20M),Q2,dic 2025-giu 2026
SEI/USDT,2025-09-10 00:00:00+00:00,33739266.055892855,0.07298814722395508,0.03431066749844036,B ($20-100M),Q4 alto,giu-nov 2025
SEI/USDT,2026-05-10 00:00:00+00:00,9993291.062243002,-0.11931443638760719,-0.192748846407383,C (<$20M),Q3,dic 2025-giu 2026
SHIB/USDT,2025-09-13 00:00:00+00:00,27607338.227870364,-0.07907627711686505,-0.09517144856543036,B ($20-100M),Q4 alto,giu-nov 2025
SHIB/USDT,2026-01-16 00:00:00+00:00,9193066.2377113,-0.049065420560747586,-0.07827102803738306,C (<$20M),Q3,dic 2025-giu 2026
SHIB/USDT,2026-04-28 00:00:00+00:00,4674773.517100366,0.022838499184339334,0.03588907014681908,C (<$20M),Q2,dic 2025-giu 2026
SLP/USDT,2026-01-23 00:00:00+00:00,5601802.299465286,-0.1322992700729927,-0.26368613138686126,C (<$20M),Q2,dic 2025-giu 2026
SLP/USDT,2026-04-21 00:00:00+00:00,590703.2870012857,0.01943198804185342,0.0717488789237668,C (<$20M),Q1 basso,dic 2025-giu 2026
SOL/USDT,2026-05-10 00:00:00+00:00,247797679.05792856,-0.05493935938633765,-0.11640924639784389,A (>$100M),Q4 alto,dic 2025-giu 2026
SOLV/USDT,2025-08-20 00:00:00+00:00,3249493.8015914285,-0.015642458100558643,-0.027932960893854775,C (<$20M),Q2,giu-nov 2025
SOLV/USDT,2025-08-22 00:00:00+00:00,2065800.422527143,-0.06321334503950837,-0.06409130816505715,C (<$20M),Q1 basso,giu-nov 2025
SOLV/USDT,2025-09-07 00:00:00+00:00,2887988.4875657144,-0.11708457288567786,-0.11453463663408414,C (<$20M),Q2,giu-nov 2025
SOLV/USDT,2025-09-27 00:00:00+00:00,5143846.272384286,-0.14388349514563104,-0.14466019417475728,C (<$20M),Q2,giu-nov 2025
SOLV/USDT,2026-05-12 00:00:00+00:00,3381091.115952856,-0.16730769230769238,-0.20192307692307687,C (<$20M),Q2,dic 2025-giu 2026
SOMI/USDT,2026-05-05 00:00:00+00:00,876419.0172414286,0.08105206655931285,0.016639828234031206,C (<$20M),Q1 basso,dic 2025-giu 2026
SPELL/USDT,2025-08-06 00:00:00+00:00,4552413.9513145285,-0.08845166809238647,-0.08639863130881087,C (<$20M),Q2,giu-nov 2025
SPELL/USDT,2025-08-23 00:00:00+00:00,2745203.1839622,-0.1162910717357647,-0.15430930672630305,C (<$20M),Q1 basso,giu-nov 2025
SPELL/USDT,2026-05-11 00:00:00+00:00,333787.09074238566,-0.07003257328990231,-0.12649294245385445,C (<$20M),Q1 basso,dic 2025-giu 2026
SPK/USDT,2026-03-18 00:00:00+00:00,2524876.4643390006,-0.022311923349893514,-0.06693577004968065,C (<$20M),Q1 basso,dic 2025-giu 2026
SPK/USDT,2026-04-17 00:00:00+00:00,1245946.0671294294,0.1466976155307027,0.8451572061616375,C (<$20M),Q1 basso,dic 2025-giu 2026
STEEM/USDT,2026-03-16 00:00:00+00:00,1311258.581395143,-0.055546959616277425,-0.07210273866625416,C (<$20M),Q1 basso,dic 2025-giu 2026
STO/USDT,2025-09-16 00:00:00+00:00,3445430.527632857,-0.029835390946502005,-0.08230452674897115,C (<$20M),Q2,giu-nov 2025
STO/USDT,2025-10-03 00:00:00+00:00,1854600.1407071427,0.4698795180722892,1.0328587075575024,C (<$20M),Q1 basso,giu-nov 2025
STO/USDT,2026-03-19 00:00:00+00:00,1750882.7492257145,-0.1577287066246057,0.04416403785488954,C (<$20M),Q1 basso,dic 2025-giu 2026
STORJ/USDT,2026-04-23 00:00:00+00:00,258364.79094285713,0.024024024024023927,-0.041041041041041115,C (<$20M),Q1 basso,dic 2025-giu 2026
STORJ/USDT,2026-05-06 00:00:00+00:00,3175976.7119857147,0.004336513443191636,-0.08065915004336521,C (<$20M),Q2,dic 2025-giu 2026
STRK/USDT,2025-08-12 00:00:00+00:00,5532823.856277429,-0.055157593123209225,-0.07306590257879664,C (<$20M),Q2,giu-nov 2025
STRK/USDT,2025-09-13 00:00:00+00:00,5153705.100555143,-0.019579405366207503,-0.058738216098622176,C (<$20M),Q2,giu-nov 2025
STRK/USDT,2025-10-01 00:00:00+00:00,12066336.424763143,-0.07363121460037769,0.02769037130270613,C (<$20M),Q3,giu-nov 2025
STRK/USDT,2025-11-11 00:00:00+00:00,55228752.47708158,0.1737931034482758,0.4117241379310346,B ($20-100M),Q4 alto,giu-nov 2025
STRK/USDT,2026-05-07 00:00:00+00:00,5043745.680451571,0.13232104121475063,0.00867678958785234,C (<$20M),Q2,dic 2025-giu 2026
STX/USDT,2026-01-10 00:00:00+00:00,5581796.592831428,0.022233712512926607,-0.06359875904860379,C (<$20M),Q2,dic 2025-giu 2026
STX/USDT,2026-05-09 00:00:00+00:00,5212091.760424286,0.02229780801209369,-0.10015117157974296,C (<$20M),Q2,dic 2025-giu 2026
SUI/USDT,2025-09-13 00:00:00+00:00,119526879.48899,-0.056178891626907146,-0.0412625176951712,A (>$100M),Q4 alto,giu-nov 2025
SUI/USDT,2026-01-14 00:00:00+00:00,80619465.18872428,-0.03594171613599573,-0.1846195358877496,B ($20-100M),Q4 alto,dic 2025-giu 2026
SUI/USDT,2026-05-09 00:00:00+00:00,40743739.83298,0.15705876856955991,-0.00868915257404479,B ($20-100M),Q4 alto,dic 2025-giu 2026
TAO/USDT,2025-10-13 00:00:00+00:00,77363546.10399714,-0.1533303531515422,-0.05498435404559676,B ($20-100M),Q4 alto,giu-nov 2025
TAO/USDT,2026-03-15 00:00:00+00:00,46227401.36444286,-0.03568904593639588,-0.07491166077738509,B ($20-100M),Q4 alto,dic 2025-giu 2026
TAO/USDT,2026-05-02 00:00:00+00:00,23567917.640374284,0.01881533101045285,0.07212543554006956,B ($20-100M),Q4 alto,dic 2025-giu 2026
TON/USDT,2026-01-11 00:00:00+00:00,10550694.550231429,0.006285714285714228,-0.04800000000000004,C (<$20M),Q3,dic 2025-giu 2026
TON/USDT,2026-04-16 00:00:00+00:00,13770754.886445714,-0.101813110181311,-0.07112970711297062,C (<$20M),Q3,dic 2025-giu 2026
TON/USDT,2026-04-30 00:00:00+00:00,71199027.6187057,0.012724550898203457,1.0314371257485027,B ($20-100M),Q4 alto,dic 2025-giu 2026
TON/USDT,2026-05-02 00:00:00+00:00,68927227.78878286,0.4534623976172747,0.812360387192852,B ($20-100M),Q4 alto,dic 2025-giu 2026
TRB/USDT,2026-04-16 00:00:00+00:00,3517315.291762857,-0.23506825938566556,-0.2103242320819112,C (<$20M),Q2,dic 2025-giu 2026
TREE/USDT,2026-04-26 00:00:00+00:00,2947493.0512357163,-0.061813186813186816,-0.04532967032967028,C (<$20M),Q2,dic 2025-giu 2026
TRUMP/USDT,2025-11-10 00:00:00+00:00,103967814.51657785,-0.18352861649391616,-0.2202568724650743,A (>$100M),Q4 alto,giu-nov 2025
TRX/USDT,2026-01-07 00:00:00+00:00,50292982.994061425,0.014424689701442617,0.022140221402214166,B ($20-100M),Q4 alto,dic 2025-giu 2026
TRX/USDT,2026-03-14 00:00:00+00:00,33814421.57539714,0.030221625251846795,0.04801880456682328,B ($20-100M),Q4 alto,dic 2025-giu 2026
TST/USDT,2025-09-18 00:00:00+00:00,50201058.38000943,-0.168586387434555,-0.3495287958115183,B ($20-100M),Q4 alto,giu-nov 2025
TST/USDT,2026-04-17 00:00:00+00:00,7841882.751908004,-0.26206434316353877,-0.2499999999999999,C (<$20M),Q3,dic 2025-giu 2026
TURTLE/USDT,2026-04-24 00:00:00+00:00,759393.3343371429,0.2500000000000002,0.0237068965517242,C (<$20M),Q1 basso,dic 2025-giu 2026
TUT/USDT,2026-04-20 00:00:00+00:00,2401589.1421685712,-0.0027100271002710175,-0.04426377597109299,C (<$20M),Q1 basso,dic 2025-giu 2026
UNI/USDT,2026-05-11 00:00:00+00:00,21616147.77308857,-0.041827046445984006,-0.09032589171157301,B ($20-100M),Q3,dic 2025-giu 2026
USTC/USDT,2025-12-10 00:00:00+00:00,23002937.70927429,-0.268755935422602,-0.3409306742640076,B ($20-100M),Q4 alto,dic 2025-giu 2026
USTC/USDT,2026-04-20 00:00:00+00:00,915084.4126942847,0.08778625954198471,0.1564885496183206,C (<$20M),Q1 basso,dic 2025-giu 2026
VANA/USDT,2025-09-24 00:00:00+00:00,11380283.508450001,-0.16043866774979687,-0.20288383428107237,C (<$20M),Q3,giu-nov 2025
VANA/USDT,2026-05-01 00:00:00+00:00,8493316.55908,0.0006729475100943905,0.10497981157469716,C (<$20M),Q3,dic 2025-giu 2026
VIRTUAL/USDT,2025-10-29 00:00:00+00:00,75716028.81607,0.20965826626203965,-0.0862250956590579,B ($20-100M),Q4 alto,giu-nov 2025
VIRTUAL/USDT,2026-01-10 00:00:00+00:00,30532158.66298143,0.004871060171919961,-0.09531996179560642,B ($20-100M),Q4 alto,dic 2025-giu 2026
VIRTUAL/USDT,2026-03-17 00:00:00+00:00,11042021.16338857,-0.09854294478527603,-0.07131901840490795,C (<$20M),Q3,dic 2025-giu 2026
VIRTUAL/USDT,2026-04-25 00:00:00+00:00,4514189.393217144,-0.01258401258401265,0.07278707278707275,C (<$20M),Q2,dic 2025-giu 2026
W/USDT,2025-08-29 00:00:00+00:00,18125442.859890003,-0.07928994082840246,-0.07692307692307698,C (<$20M),Q3,giu-nov 2025
W/USDT,2025-09-09 00:00:00+00:00,6080671.241388572,0.10655737704918034,0.04800936768149877,C (<$20M),Q2,giu-nov 2025
WCT/USDT,2026-04-26 00:00:00+00:00,1806646.4120114285,-0.009273570324574765,-0.037094281298299725,C (<$20M),Q1 basso,dic 2025-giu 2026
WIF/USDT,2025-09-18 00:00:00+00:00,34724573.22825143,-0.08272251308900525,-0.2366492146596858,B ($20-100M),Q4 alto,giu-nov 2025
WIF/USDT,2026-05-08 00:00:00+00:00,9092195.229292857,0.026666666666666616,-0.08888888888888902,C (<$20M),Q3,dic 2025-giu 2026
WLD/USDT,2025-09-08 00:00:00+00:00,114948768.65219998,0.052832590706556326,-0.03755569700827499,A (>$100M),Q4 alto,giu-nov 2025
WLD/USDT,2026-05-26 00:00:00+00:00,42298037.68589856,-0.22837370242214527,0.018631887143997883,B ($20-100M),Q4 alto,dic 2025-giu 2026
WLFI/USDT,2026-01-04 00:00:00+00:00,15669657.924965715,-0.01345816266822697,-0.02750146284376831,C (<$20M),Q3,dic 2025-giu 2026
XLM/USDT,2025-09-17 00:00:00+00:00,24986212.385414284,-0.023520485584218487,-0.052604957005564,B ($20-100M),Q4 alto,giu-nov 2025
XLM/USDT,2025-10-04 00:00:00+00:00,24047211.552185718,-0.02590147282884714,-0.17978669375317413,B ($20-100M),Q4 alto,giu-nov 2025
XLM/USDT,2026-04-23 00:00:00+00:00,9319615.534171429,-0.02678062678062665,-0.09800569800569803,C (<$20M),Q3,dic 2025-giu 2026
XLM/USDT,2026-05-29 00:00:00+00:00,62103321.3113,-0.06355932203389825,-0.21687211093990755,B ($20-100M),Q4 alto,dic 2025-giu 2026
XPL/USDT,2026-04-07 00:00:00+00:00,20576988.227175713,0.0007680491551458335,0.02841781874039917,B ($20-100M),Q3,dic 2025-giu 2026
XRP/USDT,2025-09-10 00:00:00+00:00,270895358.0771843,0.045552054702688194,0.033753435677414956,A (>$100M),Q4 alto,giu-nov 2025
XRP/USDT,2025-10-04 00:00:00+00:00,319386481.58770853,-0.03924541013980132,-0.19760821963954867,A (>$100M),Q4 alto,giu-nov 2025
XRP/USDT,2026-05-11 00:00:00+00:00,132463415.85271145,0.005143475906876027,-0.059285327558202594,A (>$100M),Q4 alto,dic 2025-giu 2026
XUSD/USDT,2025-10-25 00:00:00+00:00,11870473.0089,0.00010002000400088917,0.0005001000200040018,C (<$20M),Q3,giu-nov 2025
XUSD/USDT,2025-12-18 00:00:00+00:00,12490856.4816,0.00019994001799461536,0.000299910026991812,C (<$20M),Q3,dic 2025-giu 2026
XUSD/USDT,2026-05-08 00:00:00+00:00,9723454.278714286,-0.000699580251848797,-9.994003597835199e-05,C (<$20M),Q3,dic 2025-giu 2026
XVG/USDT,2025-10-03 00:00:00+00:00,10780749.759287715,-0.0654871605848385,-0.32891018552647755,C (<$20M),Q3,giu-nov 2025
XVG/USDT,2025-11-02 00:00:00+00:00,6720720.382908857,0.11370303114960167,0.07962005866741162,C (<$20M),Q2,giu-nov 2025
XVG/USDT,2026-01-13 00:00:00+00:00,3222107.7586325714,-0.007615286983500225,-0.055422366379918264,C (<$20M),Q2,dic 2025-giu 2026
ZAMA/USDT,2026-04-13 00:00:00+00:00,5168765.292214294,0.2229495571813629,0.057758952637658956,C (<$20M),Q2,dic 2025-giu 2026
ZBT/USDT,2026-04-02 00:00:00+00:00,5957564.662199983,-0.06591337099811678,0.044256120527306875,C (<$20M),Q2,dic 2025-giu 2026
ZEC/USDT,2025-09-05 00:00:00+00:00,2039783.2409514284,0.23260340632603405,0.2104622871046229,C (<$20M),Q1 basso,giu-nov 2025
ZEC/USDT,2026-04-09 00:00:00+00:00,86291315.15084144,-0.012026835387804136,-0.07229737100469069,B ($20-100M),Q4 alto,dic 2025-giu 2026
ZEN/USDT,2025-10-03 00:00:00+00:00,20199725.21603143,0.019045625784847253,0.2018627040602763,B ($20-100M),Q3,giu-nov 2025
ZEN/USDT,2026-01-16 00:00:00+00:00,38121019.44292285,-0.12548430457816084,-0.19814975883608765,B ($20-100M),Q4 alto,dic 2025-giu 2026
ZEN/USDT,2026-04-26 00:00:00+00:00,3667400.8123171427,-0.06313379129865881,0.16077854105332023,C (<$20M),Q2,dic 2025-giu 2026
ZEN/USDT,2026-05-01 00:00:00+00:00,2271905.3682585717,0.1348837209302325,0.15653568564554932,C (<$20M),Q1 basso,dic 2025-giu 2026
ZK/USDT,2025-11-06 00:00:00+00:00,115870944.28627415,-0.19445641246589107,-0.3242855091196323,A (>$100M),Q4 alto,giu-nov 2025
ZK/USDT,2026-05-11 00:00:00+00:00,4439329.274990134,-0.03991484832357639,-0.18946248004257582,C (<$20M),Q2,dic 2025-giu 2026
ZKP/USDT,2026-05-04 00:00:00+00:00,3331803.5912671434,0.003504672897196359,-0.004672897196261627,C (<$20M),Q2,dic 2025-giu 2026
