symbol,entry_ts,exit_ts,entry_signal_strength,entry_rsi,tier_n_reason,vol_reason,alloc_usd,strength_reason,exit_motive,realized_usd,entry_price,entry_volume,tier,entry_match_min,exit_price,exit_match_min,matched,pnl_pct,duration_h,win,log_vol,is_orphan
TRX/USDT,2026-05-03 07:17:04.703535+00:00,2026-05-03 07:17:06.477098+00:00,31.21,79.28,2,56400000.0,23.0,31.2,ORPHAN_PERIOD_CLOSE,,0.3365,56440189.58973,B,0.11817095000000001,0.3365,0.14773033333333335,True,0.0,0.0004926563888888889,False,7.751588463934813,True
TRX/USDT,2026-05-03 07:47:40.365136+00:00,2026-05-03 07:47:42.135808+00:00,31.71,79.78,2,56700000.0,23.0,31.7,ORPHAN_PERIOD_CLOSE,,0.337,56725365.10826,B,0.12729663333333333,0.337,0.1568078333333333,True,0.0,0.0004918533333333334,False,7.753777299867548,True
TRX/USDT,2026-05-03 10:20:46.735076+00:00,2026-05-03 10:20:52.669713+00:00,33.04,81.1,2,57600000.0,23.0,33.0,ORPHAN_PERIOD_CLOSE,,0.3381,57617243.36306,B,0.13118985,0.3381,0.23010046666666667,True,0.0,0.001648510277777778,False,7.760552476074724,True
TRX/USDT,2026-05-03 10:51:27.918680+00:00,2026-05-03 10:51:30.170049+00:00,32.92,80.98,2,57100000.0,23.0,32.9,ORPHAN_PERIOD_CLOSE,,0.338,57129723.66908,B,0.13883796666666667,0.338,0.17636078333333333,True,0.0,0.0006253802777777778,False,7.756862123425437,True
TRX/USDT,2026-05-03 11:22:04.991321+00:00,2026-05-03 11:22:06.014187+00:00,32.8,80.86,2,57600000.0,23.0,32.8,ORPHAN_PERIOD_CLOSE,,0.33790000000000003,57604809.45952,B,0.12531898333333333,0.33790000000000003,0.14236675,True,0.0,0.00028412944444444445,False,7.760458744439423,True
TRX/USDT,2026-05-03 11:52:43.513800+00:00,2026-05-03 11:52:45.061940+00:00,27.27,75.24,2,58900000.0,23.0,27.3,ORPHAN_PERIOD_CLOSE,,0.3366,58924492.27556,B,0.18062698333333332,0.3366,0.20642931666666667,True,0.0,0.0004300388888888889,False,7.770295849102639,True
TRX/USDT,2026-05-03 12:53:55.906645+00:00,2026-05-03 12:53:58.664713+00:00,27.53,75.73,2,58900000.0,23.0,27.5,ORPHAN_PERIOD_CLOSE,,0.33690000000000003,58906187.78649,B,0.13542615,0.33690000000000003,0.18139395,True,0.0,0.0007661300000000001,False,7.770160917543949,True
TUT/USDT,2026-05-05 03:44:14.300420+00:00,2026-05-05 06:22:53.942196+00:00,24.49,71.79,3,7900000.0,16.0,24.5,TRAILING-STOP,-0.01,0.013370000000000002,7920898.97129,C,0.20494203333333333,0.013370000000000002,158.86563829999997,True,0.0,2.644344937777778,False,6.898774474028232,False
UNI/USDT,2026-05-06 12:53:48.110343+00:00,2026-05-06 14:04:38.102382+00:00,27.52,76.34,3,15700000.0,16.0,27.5,STOP-LOSS,-0.42,3.526,15667029.56265,C,0.3026547333333333,3.447,9.540221633333335,True,-2.240499149177531,1.1805533441666667,False,7.194986662911657,False
VIRTUAL/USDT,2026-05-06 16:47:15.520297+00:00,2026-05-06 22:22:57.117033+00:00,29.09,77.3,3,19700000.0,16.0,29.1,TRAILING-STOP,-0.0,0.8681000000000001,19735486.7872,C,0.3138061,0.8701000000000001,14.153071866666666,True,0.23038820412394903,5.594887982222222,True,7.295247842988314,False
XPL/USDT,2026-05-07 00:40:26.026235+00:00,2026-05-07 01:18:46.675898+00:00,24.75,73.52,3,14400000.0,16.0,24.8,STOP-LOSS,-0.42,0.1008,14364694.1539,C,0.29813283333333335,0.0994,7.8632549166666665,True,-1.3888888888888875,0.6390693508333334,False,7.157296383638959,False
