symbol,skip_at,distance_pct_at_skip,price_at_skip,ema20_at_skip,check_price_24h,hours_to_check,delta_24h_pct,peak_24h_pct,verdict,notes
ZBT/USDT,2026-04-24 19:19:25,17.30,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-24 19:19:26,54.72,,,,0.0,,,pre-47a (no baseline),no_baseline
APE/USDT,2026-04-24 20:19:55,87.15,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-24 20:19:55,38.83,,,,0.0,,,pre-47a (no baseline),no_baseline
ZBT/USDT,2026-04-24 20:19:55,20.71,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-24 20:19:55,38.83,,,,0.0,,,pre-47a (no baseline),no_baseline
APE/USDT,2026-04-24 20:19:56,87.15,,,,0.0,,,pre-47a (no baseline),no_baseline
ZBT/USDT,2026-04-24 20:19:56,20.71,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-24 21:20:24,53.57,,,,0.0,,,pre-47a (no baseline),no_baseline
APE/USDT,2026-04-24 21:20:25,46.55,,,,0.0,,,pre-47a (no baseline),no_baseline
ZBT/USDT,2026-04-24 21:20:25,26.42,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-24 21:20:25,53.57,,,,0.0,,,pre-47a (no baseline),no_baseline
APE/USDT,2026-04-24 21:20:26,46.55,,,,0.0,,,pre-47a (no baseline),no_baseline
ZBT/USDT,2026-04-24 21:20:26,26.42,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-24 22:20:54,70.25,,,,0.0,,,pre-47a (no baseline),no_baseline
APE/USDT,2026-04-24 22:20:54,44.41,,,,0.0,,,pre-47a (no baseline),no_baseline
OPN/USDT,2026-04-24 22:20:54,17.32,,,,0.0,,,pre-47a (no baseline),no_baseline
ZBT/USDT,2026-04-24 22:20:55,23.07,,,,0.0,,,pre-47a (no baseline),no_baseline
ROBO/USDT,2026-04-24 22:20:55,13.34,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-24 22:20:55,70.25,,,,0.0,,,pre-47a (no baseline),no_baseline
APE/USDT,2026-04-24 22:20:56,44.41,,,,0.0,,,pre-47a (no baseline),no_baseline
OPN/USDT,2026-04-24 22:20:56,17.32,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-24 23:21:27,61.14,,,,0.0,,,pre-47a (no baseline),no_baseline
APE/USDT,2026-04-24 23:21:28,45.47,,,,0.0,,,pre-47a (no baseline),no_baseline
OPN/USDT,2026-04-24 23:21:28,16.98,,,,0.0,,,pre-47a (no baseline),no_baseline
API3/USDT,2026-04-24 23:21:28,17.01,,,,0.0,,,pre-47a (no baseline),no_baseline
ZBT/USDT,2026-04-24 23:21:28,21.05,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-24 23:21:29,61.14,,,,0.0,,,pre-47a (no baseline),no_baseline
APE/USDT,2026-04-24 23:21:29,45.47,,,,0.0,,,pre-47a (no baseline),no_baseline
OPN/USDT,2026-04-24 23:21:29,16.98,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-25 00:21:58,46.57,,,,0.0,,,pre-47a (no baseline),no_baseline
API3/USDT,2026-04-25 00:21:59,26.98,,,,0.0,,,pre-47a (no baseline),no_baseline
APE/USDT,2026-04-25 00:21:59,37.82,,,,0.0,,,pre-47a (no baseline),no_baseline
D/USDT,2026-04-25 00:21:59,14.90,,,,0.0,,,pre-47a (no baseline),no_baseline
ZBT/USDT,2026-04-25 00:21:59,24.84,,,,0.0,,,pre-47a (no baseline),no_baseline
OPN/USDT,2026-04-25 00:22:00,15.56,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-25 00:22:00,46.57,,,,0.0,,,pre-47a (no baseline),no_baseline
APE/USDT,2026-04-25 00:22:00,37.82,,,,0.0,,,pre-47a (no baseline),no_baseline
API3/USDT,2026-04-25 00:22:01,26.98,,,,0.0,,,pre-47a (no baseline),no_baseline
API3/USDT,2026-04-25 01:22:29,41.94,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-25 01:22:30,45.77,,,,0.0,,,pre-47a (no baseline),no_baseline
APE/USDT,2026-04-25 01:22:30,54.06,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-25 01:22:30,45.77,,,,0.0,,,pre-47a (no baseline),no_baseline
API3/USDT,2026-04-25 01:22:30,41.94,,,,0.0,,,pre-47a (no baseline),no_baseline
API3/USDT,2026-04-25 02:23:00,40.12,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-25 02:23:00,45.45,,,,0.0,,,pre-47a (no baseline),no_baseline
APE/USDT,2026-04-25 02:23:00,51.99,,,,0.0,,,pre-47a (no baseline),no_baseline
DYDX/USDT,2026-04-25 02:23:00,16.05,,,,0.0,,,pre-47a (no baseline),no_baseline
D/USDT,2026-04-25 02:23:01,15.98,,,,0.0,,,pre-47a (no baseline),no_baseline
ZBT/USDT,2026-04-25 02:23:01,14.01,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-25 02:23:01,45.45,,,,0.0,,,pre-47a (no baseline),no_baseline
API3/USDT,2026-04-25 02:23:02,40.12,,,,0.0,,,pre-47a (no baseline),no_baseline
API3/USDT,2026-04-25 03:23:32,42.60,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-25 03:23:32,45.28,,,,0.0,,,pre-47a (no baseline),no_baseline
APE/USDT,2026-04-25 03:23:33,54.38,,,,0.0,,,pre-47a (no baseline),no_baseline
D/USDT,2026-04-25 03:23:33,32.06,,,,0.0,,,pre-47a (no baseline),no_baseline
DYDX/USDT,2026-04-25 03:23:33,19.14,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-25 03:23:34,45.28,,,,0.0,,,pre-47a (no baseline),no_baseline
API3/USDT,2026-04-25 03:23:34,42.60,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-25 04:24:03,47.46,,,,0.0,,,pre-47a (no baseline),no_baseline
D/USDT,2026-04-25 04:24:03,28.10,,,,0.0,,,pre-47a (no baseline),no_baseline
API3/USDT,2026-04-25 04:24:04,35.16,,,,0.0,,,pre-47a (no baseline),no_baseline
APE/USDT,2026-04-25 04:24:04,40.72,,,,0.0,,,pre-47a (no baseline),no_baseline
DYDX/USDT,2026-04-25 04:24:04,13.46,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-25 04:24:04,47.46,,,,0.0,,,pre-47a (no baseline),no_baseline
API3/USDT,2026-04-25 04:24:05,35.16,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-25 05:24:35,50.29,,,,0.0,,,pre-47a (no baseline),no_baseline
APE/USDT,2026-04-25 05:24:35,47.80,,,,0.0,,,pre-47a (no baseline),no_baseline
AXS/USDT,2026-04-25 05:24:35,14.53,,,,0.0,,,pre-47a (no baseline),no_baseline
D/USDT,2026-04-25 05:24:36,25.66,,,,0.0,,,pre-47a (no baseline),no_baseline
API3/USDT,2026-04-25 05:24:36,33.28,,,,0.0,,,pre-47a (no baseline),no_baseline
DYM/USDT,2026-04-25 05:24:36,12.62,,,,0.0,,,pre-47a (no baseline),no_baseline
DYDX/USDT,2026-04-25 05:24:36,13.78,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-25 05:24:37,50.29,,,,0.0,,,pre-47a (no baseline),no_baseline
API3/USDT,2026-04-25 05:24:37,33.28,,,,0.0,,,pre-47a (no baseline),no_baseline
AXS/USDT,2026-04-25 05:24:37,14.53,,,,0.0,,,pre-47a (no baseline),no_baseline
AXS/USDT,2026-04-25 06:25:06,26.18,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-25 06:25:06,41.34,,,,0.0,,,pre-47a (no baseline),no_baseline
APE/USDT,2026-04-25 06:25:07,41.61,,,,0.0,,,pre-47a (no baseline),no_baseline
API3/USDT,2026-04-25 06:25:07,33.25,,,,0.0,,,pre-47a (no baseline),no_baseline
D/USDT,2026-04-25 06:25:07,21.16,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-25 06:25:08,41.34,,,,0.0,,,pre-47a (no baseline),no_baseline
